2021/04/03 18:22:04,,,
sorterName,dataSize,runTime(ms),
InsertionSort,4096,2104.989,
TimSort,4096,1034.158,
QuickSort,8192,669.903,
InsertionSort,8192,7805.942,
TimSort,8192,2449.147,
QuickSort,16384,1473.398,
InsertionSort,16384,30643.54,
TimSort,16384,3127.499,
QuickSort,32768,2361.523,
InsertionSort,32768,121720.992,
TimSort,32768,6339.395,
,,,
2021/04/03 18:26:45,,,
sorterName,dataSize,runTime(ms),
QuickSort,128,46.124,
InsertionSort,128,106.261,
TimSort,128,107.389,
QuickSort,256,113.069,
InsertionSort,256,369.357,
TimSort,256,175.086,
QuickSort,512,231.327,
InsertionSort,512,1315.18,
TimSort,512,368.509,
QuickSort,1024,136.982,
InsertionSort,1024,2059.523,
TimSort,1024,807.99,
QuickSort,2048,248.25,
InsertionSort,2048,3076.992,
TimSort,2048,480.894,
QuickSort,4096,526.291,
InsertionSort,4096,2085.472,
TimSort,4096,1049.923,
QuickSort,8192,695.408,
InsertionSort,8192,7988.835,
TimSort,8192,2702.838,
QuickSort,16384,1390.099,
InsertionSort,16384,30618.384,
TimSort,16384,3654.186,
QuickSort,32768,2410.457,
InsertionSort,32768,122087.688,
TimSort,32768,4654.659,
,,,
2021/04/03 18:26:46,,,
sorterName,dataSize,runTime(ms),
QuickSort,128,45.035,
InsertionSort,128,94.814,
TimSort,128,101.177,
QuickSort,256,101.417,
InsertionSort,256,368.056,
TimSort,256,161.908,
QuickSort,512,202.057,
InsertionSort,512,1383.819,
TimSort,512,365.565,
QuickSort,1024,131.95,
InsertionSort,1024,2042.183,
TimSort,1024,806.307,
QuickSort,2048,254.823,
InsertionSort,2048,4132.905,
TimSort,2048,487.473,
QuickSort,4096,547.851,
InsertionSort,4096,2117.713,
TimSort,4096,1028.897,
QuickSort,8192,672.333,
InsertionSort,8192,8034.937,
TimSort,8192,2208.391,
QuickSort,16384,1365.204,
InsertionSort,16384,30870.672,
TimSort,16384,5229.145,
QuickSort,32768,2372.817,
InsertionSort,32768,122231.32,
TimSort,32768,6990.103,
,,,
